,STATE_ABBR,DATA_YEAR,STATE_POPULATION,STATE_TOTAL_CRIMES
207,CO,2006,4753377,345672
208,CO,2007,4861515,309852
209,CO,2008,4939456,297449
210,CO,2009,5024748,286506
211,CO,2010,5047692,287361
212,CO,2011,5116302,282708
213,CO,2012,5189458,295589
214,CO,2013,5272086,296899
215,CO,1995,3747000,387904
216,CO,2015,5448819,306308
217,CO,2014,5355588,289011
218,CO,1979,2772000,376440
219,CO,1980,2878407,406959
220,CO,1981,2963000,419993
221,CO,1982,3045000,415814
222,CO,1983,3139000,401095
223,CO,1984,3178000,396756
224,CO,1985,3231000,431891
225,CO,1986,3267000,442357
226,CO,1987,3296000,409859
227,CO,1988,3290000,390986
228,CO,1989,3317000,385020
229,CO,1990,3294394,381540
230,CO,1991,3377000,391357
231,CO,1992,3470000,393454
232,CO,1993,3566000,373941
233,CO,1994,3656000,370248
234,CT,2016,3587685,138334
235,CT,2017,3588184,135540
236,CT,1996,3274000,263338
237,CT,1997,3270000,247791
238,CT,1998,3274000,235949
239,CT,1999,3282031,211130
240,CT,2000,3405565,209124
241,CT,2001,3434602,202090
242,CT,2002,3458587,197659
243,CT,2003,3486960,197007
244,CT,2004,3498966,197997
245,CT,2005,3500701,190082
246,CT,2006,3504809,191781
247,CT,2007,3502309,184099
248,CT,2008,3501252,185658
249,CT,2009,3518288,176241
250,CT,2010,3575498,167031
251,CT,2011,3586717,164692
252,CT,2012,3591765,164915
253,CT,1995,3275000,281669
254,CT,2015,3584730,139444
255,CT,2013,3599341,152265
256,CT,2014,3594762,147533
257,CT,1979,3115000,347164
258,CT,1980,3095224,351334
259,CT,1981,3132000,351613
260,CT,1982,3153000,329661
261,CT,1983,3138000,300641
262,CT,1984,3154000,279568
263,CT,1985,3174000,285902
264,CT,1986,3189000,294400
265,CT,1987,3211000,307371
266,CT,1988,3241000,315669
267,CT,1989,3239000,324814
268,CT,1990,3287116,335935
269,CT,1991,3291000,335301
270,CT,1992,3281000,315322
271,CT,1993,3277000,289835
272,CT,1994,3275000,282976
273,DC,2016,684336,73196
274,DC,2017,693972,66656
275,DC,1996,543000,115787
276,DC,1997,529000,93390
277,DC,1998,523000,83432
278,DC,1999,519000,75288
279,DC,2000,572059,74626
280,DC,2001,573822,79659
281,DC,2002,569157,82276
282,DC,2003,557620,74453
283,DC,2004,554239,61382
284,DC,2005,582049,60298
285,DC,2006,581530,62900
286,DC,2007,588292,66232
287,DC,2008,591833,68982
288,DC,2009,599657,65134
289,DC,2010,604912,65679
290,DC,2011,619020,66802
291,DC,2012,633427,69431
292,DC,1995,554000,120138
293,DC,2015,670377,71665
294,DC,2013,649111,70611
295,DC,2014,659836,76703
296,DC,1979,656000,102307
297,DC,1980,635233,114564
298,DC,1981,636000,121352
299,DC,1982,631000,117987
300,DC,1983,623000,103619
301,DC,1984,623000,96323
302,DC,1985,626000,89979
303,DC,1986,626000,94985
304,DC,1987,622000,95122
305,DC,1988,620000,111028
306,DC,1989,604000,111407
307,DC,1990,606900,115859
308,DC,1991,598000,114115
309,DC,1992,589000,117689
310,DC,1993,578000,119070
311,DC,1994,570000,111195
312,DE,2016,952698,57780
313,DE,2017,961939,51455
314,DE,1996,725000,66131
315,DE,1997,732000,78909
316,DE,1998,744000,74132
317,DE,1999,753538,67378
318,DE,2000,783600,64817
319,DE,2001,796599,59666
320,DE,2002,805945,58770
321,DE,2003,818166,61411
322,DE,2004,830069,59617
323,DE,2005,841741,57822
324,DE,2006,853476,65323
325,DE,2007,864764,64844
326,DE,2008,873092,69319
327,DE,2009,885122,65391
328,DE,2010,899792,68065
329,DE,2011,908137,67762
330,DE,2012,917053,66688
331,DE,2013,925240,62807
332,DE,2014,935968,60612
333,DE,1995,717000,68778
334,DE,2015,944076,56011
335,DE,1979,582000,72833
336,DE,1980,594779,77788
337,DE,1981,598000,76960
338,DE,1982,602000,73504
339,DE,1983,606000,63502
340,DE,1984,613000,58713
341,DE,1985,622000,59023
342,DE,1986,633000,58465
343,DE,1987,644000,60838
344,DE,1988,660000,60367
345,DE,1989,673000,61741
