,STATE_ABBR,DATA_YEAR,HATE_CRIMES,POPULATION_SAME_AREA,TOTAL_CRIMES_SAME_AREA,STATE_POPULATION,STATE_TOTAL_CRIMES,HATE_CRIMES_100K,HATE_CRIMES_PCT_TOTAL_CRIME
53,CO,2011,186,3465889.0,235201.0,5116302.0,282708.0,3.635438252081288,0.06579226622522179
54,CO,2012,189,3359944.0,240084.0,5189458.0,295589.0,3.6419988368727525,0.06394013309020295
55,CO,2013,129,3502491.0,243790.0,5272086.0,296899.0,2.4468493116386947,0.043449119060690676
56,CO,2014,94,3413776.0,213869.0,5355588.0,289011.0,1.7551760889747305,0.03252471359221621
57,CO,2015,107,3631560.0,230664.0,5448819.0,306308.0,1.9637282868085726,0.034932159786881176
58,CO,2016,105,3242911.0,212951.0,5530105.0,324262.0,1.8986981259849498,0.03238122259160802
59,CO,2017,87,3865494.0,252341.0,5607154.0,324658.0,1.55158927327482,0.026797429910860045
60,CT,2008,179,2585585.0,154520.0,3501252.0,185658.0,5.112456915411972,0.09641383619343093
61,CT,2009,200,2375341.0,134238.0,3518288.0,176241.0,5.684582956255998,0.11348097207800682
62,CT,2010,147,2159943.0,113975.0,3575498.0,167031.0,4.111315402777459,0.0880076153528387
63,CT,2011,142,2367153.0,128514.0,3586717.0,164692.0,3.9590522475009875,0.08622155295946372
64,CT,2012,149,2494698.0,133876.0,3591765.0,164915.0,4.148378304259883,0.09034957402298154
65,CT,2013,144,2472445.0,126299.0,3599341.0,152265.0,4.000732356284109,0.0945719633533642
66,CT,2014,125,2732635.0,116622.0,3594762.0,147533.0,3.4772816670477766,0.0847268068838836
67,CT,2015,93,2328908.0,99257.0,3584730.0,139444.0,2.594337648860584,0.06669343966036545
68,CT,2016,108,2355256.0,100940.0,3587685.0,138334.0,3.0102977268071194,0.07807191290644383
69,CT,2017,114,2227594.0,99255.0,3588184.0,135540.0,3.177094597155553,0.08410801239486498
70,DC,2008,42,591833.0,77427.0,591833.0,68982.0,7.096596506108987,0.06088544837783769
71,DC,2009,37,599657.0,73223.0,599657.0,65134.0,6.17019396088097,0.05680596923265883
72,DC,2010,57,601723.0,69261.0,604912.0,65679.0,9.422858200862274,0.08678573059882154
73,DC,2011,83,617996.0,74235.0,619020.0,66802.0,13.40829052373106,0.12424777701266429
74,DC,2012,72,632323.0,77297.0,633427.0,69431.0,11.366739971614724,0.10370007633477842
75,DC,2013,72,646449.0,79026.0,649111.0,70611.0,11.092093648081761,0.10196711560521732
76,DC,2014,70,658893.0,84695.0,659836.0,76703.0,10.608696706454332,0.09126109800138195
77,DC,2015,65,672228.0,79965.0,670377.0,71665.0,9.696036707703279,0.09069978371590037
78,DC,2016,115,681170.0,81229.0,684336.0,73196.0,16.804610600640622,0.15711241051423575
79,DC,2017,194,693972.0,73406.0,693972.0,66656.0,27.955018358089372,0.2910465674507921
80,DE,2008,62,809221.0,67803.0,873092.0,69319.0,7.1011989572691085,0.08944156724707511
81,DE,2009,37,763112.0,56086.0,885122.0,65391.0,4.180214704865544,0.05658271015889037
82,DE,2010,20,364482.0,43478.0,899792.0,68065.0,2.222735921190675,0.029383677367222506
83,DE,2011,16,650073.0,50438.0,908137.0,67762.0,1.7618487078491463,0.023612053953543283
84,DE,2012,10,638656.0,46170.0,917053.0,66688.0,1.0904495160039824,0.014995201535508637
85,DE,2013,13,743860.0,48624.0,925240.0,62807.0,1.4050408542648394,0.020698329804002737
86,DE,2014,13,786893.0,50037.0,935968.0,60612.0,1.3889363738931244,0.021447898105985613
87,DE,2015,11,669002.0,29819.0,944076.0,56011.0,1.165160431999119,0.019638999482244558
88,DE,2016,15,573361.0,32187.0,952698.0,57780.0,1.574475856987209,0.02596053997923157
89,DE,2017,29,605243.0,34508.0,961939.0,51455.0,3.014744178165144,0.05635992614906229
90,FL,2008,153,9720127.0,933808.0,18328340.0,1646594.0,0.8347728163052409,0.009291908023471481
91,FL,2009,130,7836157.0,745073.0,18537969.0,1539788.0,0.7012634447711072,0.008442720686224337
92,FL,2010,136,9284708.0,751444.0,18838613.0,1441949.0,0.7219215130116001,0.009431678929005117
93,FL,2011,123,7389884.0,555176.0,19082262.0,1442385.0,0.6445776711377299,0.00852754292369929
94,FL,2012,144,9186298.0,664419.0,19320749.0,1361810.0,0.7453127205368695,0.010574162328078073
95,FL,2013,119,8677639.0,619280.0,19600311.0,1308006.0,0.6071332235493611,0.009097817594108895
96,FL,2014,65,5071929.0,330181.0,19905569.0,1260421.0,0.32654178335721024,0.005157007063512906
97,FL,2015,72,5356877.0,337132.0,20244914.0,1235667.0,0.35564487949911766,0.005826812563579023
98,FL,2016,110,10477420.0,650990.0,20656589.0,1197794.0,0.5325177356242118,0.0091835490910791
99,FL,2017,145,11826251.0,673688.0,20984400.0,1140857.0,0.6909894969596463,0.01270974364008811
100,GA,2008,12,543798.0,96011.0,9685744.0,824816.0,0.12389342522371023,0.0014548699346278442
101,GA,2009,11,559379.0,85024.0,9829211.0,765395.0,0.11191132228212418,0.0014371664304052155
102,GA,2010,17,645220.0,87494.0,9712157.0,747157.0,0.17503835656692945,0.0022752915384584497
103,GA,2011,17,1026202.0,131519.0,9812460.0,752471.0,0.1732491138817381,0.0022592232790366673
104,GA,2012,21,892385.0,58478.0,9915646.0,717862.0,0.21178650387478537,0.0029253533408928178
105,GA,2013,57,1183288.0,103728.0,9994759.0,718252.0,0.5702988936501621,0.007935933349298019
106,GA,2014,41,1912126.0,129322.0,10097132.0,718304.0,0.40605589785297447,0.005707889695727714
107,GA,2015,44,2077267.0,139860.0,10199398.0,671797.0,0.4313980099609801,0.006549597571885554
108,GA,2016,39,1918056.0,135329.0,10313620.0,655964.0,0.37814074980462725,0.00594544822581727
109,GA,2017,27,2359322.0,149729.0,10429379.0,634777.0,0.2588840620328401,0.00425346223949513
110,GM,2015,1,0.0,7243.0,,,,
111,IA,2008,33,793664.0,80717.0,3002555.0,155801.0,1.0990639638574482,0.02118086533462558
112,IA,2009,17,569674.0,44212.0,3007856.0,149207.0,0.5651866312749014,0.011393567325929749
113,IA,2010,17,576823.0,54187.0,3050202.0,146155.0,0.5573401368171681,0.011631487119838527
114,IA,2011,15,668994.0,58581.0,3064097.0,152487.0,0.4895406379106145,0.009836904129532354
115,IA,2012,8,154897.0,15755.0,3075039.0,149433.0,0.26015930204462445,0.005353569827280453
116,IA,2013,10,203363.0,12171.0,3092341.0,144854.0,0.32337960140877087,0.006903502837339666
117,IA,2014,11,537528.0,47688.0,3109481.0,139087.0,0.35375678449233167,0.007908719003213816
118,IA,2015,6,363684.0,31106.0,3121997.0,138435.0,0.19218468179181467,0.004334164048109221
119,IA,2016,17,531780.0,38902.0,3130869.0,141321.0,0.5429802396714778,0.012029351617947793
120,IA,2017,10,293388.0,15888.0,3145711.0,143364.0,0.31789315674580404,0.006975251806590218
121,ID,2008,30,673329.0,37858.0,1523816.0,67822.0,1.9687416328480603,0.04423343457875026
122,ID,2009,35,521641.0,32921.0,1545801.0,66485.0,2.264198302368804,0.05264345341054373
123,ID,2010,28,666591.0,35499.0,1571102.0,66575.0,1.7821885530029242,0.04205782951558393
124,ID,2011,37,629495.0,32552.0,1583744.0,69179.0,2.3362361593792933,0.05348443891932523
125,ID,2012,35,549694.0,31561.0,1595590.0,67251.0,2.1935459610551584,0.052043835779393616
126,ID,2013,32,610150.0,29951.0,1612843.0,64127.0,1.9840740853263459,0.049900977747282735
127,ID,2014,26,602380.0,29370.0,1634806.0,64545.0,1.5904027756198595,0.04028197381671702
128,ID,2015,34,750850.0,37076.0,1652828.0,61660.0,2.0570803495584538,0.05514109633473889
129,ID,2016,27,822007.0,37148.0,1680026.0,62782.0,1.6071179850788022,0.04300595712146794
130,ID,2017,42,733801.0,37438.0,1716943.0,60227.0,2.4462081734804246,0.06973616484301061
131,IL,2008,120,4910567.0,468051.0,12901563.0,826099.0,0.9301198622213449,0.014526104014167793
132,IL,2009,129,5094695.0,435066.0,12910409.0,772750.0,0.9991937513366151,0.01669362665803947
133,IL,2010,94,4618136.0,431929.0,12841980.0,757383.0,0.7319743528645893,0.012411157895014808
134,IL,2011,69,4461095.0,405323.0,12859752.0,746555.0,0.5365577812076002,0.00924245367052662
135,IL,2012,85,4906472.0,414192.0,12868192.0,722294.0,0.6605434547448469,0.011768061204994087
136,IL,2013,107,4556604.0,351848.0,12890552.0,646397.0,0.8300653067455916,0.01655329464709768
137,IL,2014,109,4782750.0,326116.0,12882189.0,589456.0,0.84612948932825,0.018491626177356748
138,IL,2015,90,4638446.0,316140.0,12839047.0,566040.0,0.700986607495089,0.0158999364002544
139,IL,2016,111,4534922.0,336055.0,12835726.0,585111.0,0.8647738351535394,0.018970759394371324
140,IL,2017,84,4445115.0,330694.0,12802023.0,572984.0,0.656146298128038,0.014660095220808958
141,IN,2008,61,982093.0,85310.0,6376792.0,450157.0,0.9565938484429162,0.013550827822293112
142,IN,2009,55,810944.0,59718.0,6423113.0,422418.0,0.856282615610219,0.013020278491920325
143,IN,2010,94,1559271.0,166302.0,6490622.0,420717.0,1.448243327064802,0.022342810012431158
144,IN,2011,101,1371125.0,159167.0,6516353.0,434801.0,1.549946726336035,0.02322901741256345
145,IN,2012,37,363289.0,29928.0,6537782.0,419748.0,0.5659411708741588,0.008814812697142094
146,IN,2013,75,1503581.0,162552.0,6570713.0,399583.0,1.1414286394794597,0.01876956727388302
147,IN,2014,51,1427310.0,143675.0,6597880.0,374738.0,0.7729755618471387,0.013609508509945615
148,IN,2015,63,1585535.0,159705.0,6612768.0,369841.0,0.9527024084316885,0.017034347192442158
149,IN,2016,79,1629684.0,165733.0,6634007.0,364202.0,1.1908338354180212,0.02169125924624247
150,IN,2017,98,1776043.0,163682.0,6666818.0,349630.0,1.469966631757459,0.02802963132454309
151,KS,2008,115,1130370.0,126195.0,2802134.0,202197.0,4.104015011416299,0.05687522564627566
152,KS,2009,122,1242105.0,106806.0,2818747.0,194171.0,4.328164251704747,0.06283121578402542
153,KS,2010,58,947343.0,86373.0,2859143.0,189556.0,2.028579892646153,0.030597818059043238
154,KS,2011,69,1143525.0,98381.0,2870386.0,188264.0,2.403857878348069,0.03665066077423193
155,KS,2012,84,1077375.0,126469.0,2885398.0,193236.0,2.9112101692730086,0.04347016083959511
156,KS,2013,68,1006064.0,96350.0,2895801.0,181921.0,2.3482276579088133,0.037378862253395706
157,KS,2014,75,1325916.0,107093.0,2902507.0,170891.0,2.58397309636118,0.04388762427512274
158,KS,2015,62,1213490.0,110845.0,2906721.0,172258.0,2.1329876517216477,0.03599252284364152
159,KS,2016,52,1110051.0,96989.0,2907731.0,176779.0,1.7883359911903818,0.029415258599720554
160,KS,2017,77,1145603.0,110793.0,2913123.0,175788.0,2.6432114263627042,0.04380276241836758
161,KY,2008,79,414493.0,142716.0,4269245.0,241981.0,1.8504442823028426,0.03264719130840851
162,KY,2009,153,1204768.0,75245.0,4314113.0,229608.0,3.546499593311534,0.06663530887425526
163,KY,2010,173,1424042.0,86883.0,4347223.0,233634.0,3.9795520036584273,0.07404744172509138
164,KY,2011,157,1593953.0,113665.0,4366814.0,249216.0,3.5952985403087925,0.06299756034925526
165,KY,2012,204,2258891.0,183665.0,4379730.0,236155.0,4.657821372550362,0.0863839427494654
166,KY,2013,172,2271525.0,169003.0,4399583.0,218810.0,3.9094614194117945,0.07860701064850784
167,KY,2014,165,2346466.0,168612.0,4412617.0,209843.0,3.7392776214205763,0.07863021401714615
168,KY,2015,188,2131040.0,161068.0,4424611.0,205346.0,4.2489610951109595,0.09155279382116038
169,KY,2016,214,2302428.0,166370.0,4436113.0,206465.0,4.824043030463831,0.10364952897585547
170,KY,2017,378,2945147.0,184070.0,4454189.0,200221.0,8.486393370375616,0.18879138551900151
171,LA,2008,67,748444.0,64479.0,4410796.0,372808.0,1.5190001986036081,0.01797171734512135
