,ORI,DATA_YEAR,POPULATION
17083,SC0321300,2014,0
17084,SC0321300,2014,0
17085,SC0321300,2013,0
17086,SC0321300,2013,0
17087,SC0321300,2012,0
17088,SC0321300,2011,0
17089,SC0321300,2010,0
17090,SC0340100,2017,6677
17091,SC0340100,2016,6674
17092,SC0340100,2015,6710
17093,SC0340100,2014,6774
17094,SC0340100,2013,6813
17095,SC0340100,2012,6960
17096,SC0340100,2011,7020
17097,SC0340100,2010,6939
17098,SC0340100,2009,6775
17099,SC0340100,2008,6782
17100,SC0350000,2017,15839
17101,SC0350000,2016,16030
17102,SC0350000,2015,16219
17103,SC0350000,2014,16318
17104,SC0350000,2013,16439
17105,SC0350000,2012,16867
17106,SC0350000,2011,17162
17107,SC0350000,2010,16964
17108,SC0350000,2009,16899
17109,SC0350000,2008,17046
17110,SC0370000,2017,61068
17111,SC0370000,2016,60618
17112,SC0370000,2015,60168
17113,SC0370000,2014,60143
17114,SC0370000,2013,59843
17115,SC0370000,2012,59743
17116,SC0370000,2011,59752
17117,SC0370000,2010,59064
17118,SC0370000,2009,57525
17119,SC0370000,2008,56756
17120,SC0370300,2017,2514
17121,SC0370300,2016,2493
17122,SC0370300,2015,2474
17123,SC0370300,2014,2469
17124,SC0370300,2013,2433
17125,SC0370300,2012,2445
17126,SC0370300,2011,2446
17127,SC0370300,2010,2418
17128,SC0370300,2009,2654
17129,SC0370300,2008,2658
17130,SC0380700,2017,1211
17131,SC0380700,2016,1230
17132,SC0380700,2015,1243
17133,SC0380700,2014,1254
17134,SC0380700,2013,1259
17135,SC0380700,2012,1280
17136,SC0380700,2011,1292
17137,SC0380700,2010,1277
17138,SC0380700,2009,1337
17139,SC0380700,2008,1344
17140,SC0381100,2017,917
17141,SC0381100,2016,930
17142,SC0381100,2015,940
17143,SC0381100,2014,950
17144,SC0381100,2013,952
17145,SC0381100,2012,964
17146,SC0381100,2011,972
17147,SC0381100,2010,961
17148,SC0381100,2009,715
17149,SC0381100,2008,712
17150,SC0390000,2017,74471
17151,SC0390000,2016,74268
17152,SC0390000,2015,73493
17153,SC0390000,2014,74311
17154,SC0390000,2013,74646
17155,SC0390000,2012,74762
17156,SC0390000,2011,74709
17157,SC0390000,2010,73817
17158,SC0390000,2009,74316
17159,SC0390000,2008,73767
17160,SC0390100,2017,5238
17161,SC0390100,2016,5165
17162,SC0390100,2015,5142
17163,SC0390100,2014,5185
17164,SC0390100,2013,5153
17165,SC0390100,2012,5224
17166,SC0390100,2011,5219
17167,SC0390100,2010,5159
17168,SC0390100,2009,4154
17169,SC0390100,2008,4147
17170,SC0390600,2017,0
17171,SC0390600,2016,0
17172,SC0390600,2015,0
17173,SC0390600,2014,0
17174,SC0390600,2013,0
17175,SC0390600,2012,0
17176,SC0390600,2011,0
17177,SC0390600,2010,0
17178,SC0390600,2009,0
17179,SC0390600,2008,0
17180,SC0400000,2017,260685
17181,SC0400000,2016,259342
17182,SC0400000,2015,256332
17183,SC0400000,2014,252781
17184,SC0400000,2013,248707
17185,SC0400000,2012,243695
17186,SC0400000,2011,241118
17187,SC0400000,2010,238498
17188,SC0400000,2009,226595
17189,SC0400000,2008,222049
17190,SC0400100,2017,134957
17191,SC0400100,2016,134489
17192,SC0400100,2015,132495
17193,SC0400100,2014,134124
17194,SC0400100,2013,132240
17195,SC0400100,2012,131833
17196,SC0400100,2011,130777
17197,SC0400100,2010,129272
17198,SC0400100,2009,127884
17199,SC0400100,2008,125485
17200,SC0400400,2017,10563
17201,SC0400400,2016,10654
17202,SC0400400,2015,10649
17203,SC0400400,2014,10598
17204,SC0400400,2013,10516
17205,SC0400400,2012,10596
17206,SC0400400,2011,10482
17207,SC0400400,2010,10361
17208,SC0400400,2009,9859
17209,SC0400400,2008,9889
17210,SC0420000,2017,234346
17211,SC0420000,2016,230725
17212,SC0420000,2015,227656
17213,SC0420000,2014,225055
17214,SC0420000,2013,223194
17215,SC0420000,2012,221167
17216,SC0420000,2011,219656
17217,SC0420000,2010,217058
17218,SC0420000,2009,212136
17219,SC0420000,2008,208183
17220,SC0440000,2017,18707
17221,SC0440000,2016,18773
17222,SC0440000,2015,18868
17223,SC0440000,2014,18981
17224,SC0440000,2013,19171
17225,SC0440000,2012,19652
17226,SC0440000,2011,19885
17227,SC0440000,2010,19657
17228,SC0440000,2009,18738
17229,SC0440000,2008,18746
17230,SC0450100,2017,421
17231,SC0450100,2016,427
17232,SC0450100,2015,428
17233,SC0450100,2014,441
17234,SC0450100,2014,441
17235,SC0450100,2013,442
17236,SC0450100,2012,459
17237,SC0450100,2011,464
17238,SC0450100,2010,459
17239,SC0450100,2009,493
17240,SC0460100,2017,6098
17241,SC0460100,2016,5874
17242,SC0460100,2015,5696
17243,SC0460100,2014,5470
17244,SC0460100,2013,5342
17245,SC0460100,2012,5245
17246,SC0460100,2011,5153
17247,SC0460100,2010,5094
17248,SC0460100,2009,5032
17249,SC0460100,2008,4772
17250,SC0460300,2017,74053
17251,SC0460300,2016,72589
17252,SC0460300,2015,70860
17253,SC0460300,2015,70860
17254,SC0460300,2014,69754
17255,SC0460300,2013,68617
17256,SC0460300,2012,68064
17257,SC0460300,2011,66924
17258,SC0460300,2010,66154
17259,SC0460300,2009,69506
17260,SC0460400,2017,8108
17261,SC0460400,2016,8058
17262,SC0460400,2015,8107
17263,SC0460400,2014,8001
17264,SC0460400,2013,7927
17265,SC0460400,2012,7963
17266,SC0460400,2011,7826
17267,SC0460400,2010,7736
17268,SC0460400,2009,8083
17269,SC0460400,2008,7834
17270,SC0460500,2017,10367
17271,SC0460500,2016,10032
17272,SC0460500,2015,9501
17273,SC0460500,2014,8625
17274,SC0460500,2013,8028
17275,SC0460500,2012,7847
17276,SC0460500,2011,7709
17277,SC0460500,2010,7620
17278,SC0460500,2009,5103
17279,SC0460500,2008,4799
17280,SC0460600,2017,0
17281,SC0460600,2016,0
17282,SC0460600,2015,0
17283,SC0460600,2014,0
17284,SC0460600,2013,0
17285,SC0460600,2012,0
17286,SC0460600,2011,0
17287,SC0460600,2010,0
17288,SC0460600,2009,0
17289,SC0460600,2008,0
17290,SD0060100,2017,28800
17291,SD0060100,2016,28498
17292,SD0060100,2015,28219
17293,SD0060100,2014,27629
17294,SD0060100,2013,26999
17295,SD0060100,2012,26593
17296,SD0060100,2011,26408
17297,SD0060100,2010,26091
17298,SD0060100,2009,24441
17299,SD0060100,2008,24382
17300,SD0140100,2017,22283
17301,SD0140100,2016,22186
17302,SD0140100,2015,22195
17303,SD0140100,2014,22118
17304,SD0140100,2013,21900
17305,SD0140100,2012,21902
17306,SD0140100,2011,21743
17307,SD0140100,2010,21482
17308,SD0140100,2009,20515
17309,SD0140100,2008,20565
17310,SD0280000,2017,6014
17311,SD0280000,2016,6058
17312,SD0280000,2015,5225
17313,SD0280000,2014,5222
17314,SD0280000,2013,5201
17315,SD0280000,2012,5259
17316,SD0280000,2011,5198
17317,SD0280000,2010,5135
17318,SD0280000,2009,5020
17319,SD0280000,2008,4982
17320,SD0320100,2017,14064
17321,SD0320100,2016,14068
17322,SD0320100,2015,14150
17323,SD0320100,2014,14061
17324,SD0320100,2013,13996
17325,SD0320100,2012,14016
17326,SD0320100,2011,13812
17327,SD0320100,2010,13646
17328,SD0320100,2009,13901
17329,SD0320100,2008,14051
17330,SD0400300,2017,11697
17331,SD0400300,2016,11429
17332,SD0400300,2015,11225
17333,SD0400300,2014,11246
17334,SD0400300,2013,10778
17335,SD0400300,2012,10704
17336,SD0400300,2011,10622
17337,SD0400300,2010,10494
17338,SD0400300,2009,10171
17339,SD0400300,2008,10144
17340,SD0490000,2017,28172
17341,SD0490000,2016,28655
17342,SD0490000,2015,28313
17343,SD0490000,2014,29445
17344,SD0490000,2013,29925
17345,SD0490000,2012,28593
17346,SD0490000,2011,28228
17347,SD0490000,2010,27890
17348,SD0490000,2009,29745
17349,SD0490000,2008,25569
17350,SD0490200,2017,177888
17351,SD0490200,2016,175152
17352,SD0490200,2015,172313
17353,SD0490200,2014,167339
17354,SD0490200,2013,161754
17355,SD0490200,2012,158354
17356,SD0490200,2011,155760
17357,SD0490200,2010,153888
17358,SD0490200,2009,158672
17359,SD0490200,2008,155110
17360,SD0510100,2017,74986
17361,SD0510100,2016,74573
17362,SD0510100,2015,73801
17363,SD0510100,2014,71481
17364,SD0510100,2013,70406
17365,SD0510100,2012,69979
17366,SD0510100,2011,68782
17367,SD0510100,2010,67956
17368,SD0510100,2009,66170
17369,SD0510100,2008,64556
17370,TN0010000,2017,34067
17371,TN0010000,2016,33810
17372,TN0010000,2015,33752
17373,TN0010000,2014,33833
17374,TN0010000,2013,33731
17375,TN0010000,2012,33853
17376,TN0010000,2011,33838
17377,TN0010000,2010,33535
17378,TN0010000,2009,34842
17379,TN0010000,2008,34117
17380,TN0010300,2017,29355
17381,TN0010300,2016,29296
17382,TN0010300,2015,29297
17383,TN0010300,2014,29441
17384,TN0010300,2013,29319
17385,TN0010300,2012,29593
17386,TN0010300,2011,29595
17387,TN0010300,2010,29330
17388,TN0010300,2009,27718
17389,TN0010300,2008,27540
17390,TN0020100,2017,21618
17391,TN0020100,2016,21511
17392,TN0020100,2015,21205
17393,TN0020100,2014,20858
17394,TN0020100,2013,20669
17395,TN0020100,2012,20706
17396,TN0020100,2011,20518
17397,TN0020100,2010,20335
17398,TN0020100,2009,20078
17399,TN0020100,2008,19902
17400,TN0050100,2017,10128
17401,TN0050100,2016,9503
17402,TN0050100,2015,8831
17403,TN0050100,2014,8689
17404,TN0050100,2013,8605
17405,TN0050100,2012,8587
17406,TN0050100,2011,8525
17407,TN0050100,2010,8449
17408,TN0050100,2009,8681
17409,TN0050100,2008,8625
17410,TN0050200,2017,28918
17411,TN0050200,2016,28661
17412,TN0050200,2015,28541
17413,TN0050200,2014,28116
17414,TN0050200,2013,28009
17415,TN0050200,2012,27874
17416,TN0050200,2011,27713
17417,TN0050200,2010,27465
17418,TN0050200,2009,27641
17419,TN0050200,2008,27259
17420,TN0060000,2017,60152
17421,TN0060000,2016,59994
17422,TN0060000,2015,59639
17423,TN0060000,2014,59007
17424,TN0060000,2013,58497
17425,TN0060000,2012,58150
17426,TN0060000,2011,57542
17427,TN0060000,2010,57027
17428,TN0060000,2009,57045
17429,TN0060000,2008,56253
17430,TN0060100,2017,44778
17431,TN0060100,2016,44423
17432,TN0060100,2015,43650
17433,TN0060100,2014,43135
17434,TN0060100,2013,42735
17435,TN0060100,2012,42068
17436,TN0060100,2011,41657
17437,TN0060100,2010,41285
17438,TN0060100,2009,40024
17439,TN0060100,2008,39420
17440,TN0070200,2017,6897
17441,TN0070200,2016,6977
17442,TN0070200,2015,7055
17443,TN0070200,2014,7203
17444,TN0070200,2013,7256
17445,TN0070200,2012,7481
17446,TN0070200,2011,7523
17447,TN0070200,2010,7456
17448,TN0070200,2009,8218
17449,TN0070200,2008,8195
17450,TN0100100,2017,13771
17451,TN0100100,2016,13672
17452,TN0100100,2015,14265
17453,TN0100100,2014,14375
17454,TN0100100,2013,14220
17455,TN0100100,2012,14240
17456,TN0100100,2011,14304
17457,TN0100100,2010,14176
17458,TN0100100,2009,13944
17459,TN0100100,2008,13909
17460,TN0110000,2017,28294
17461,TN0110000,2016,28113
17462,TN0110000,2015,28170
17463,TN0110000,2014,28014
17464,TN0110000,2013,27748
17465,TN0110000,2012,27869
17466,TN0110000,2011,27909
17467,TN0110000,2010,27659
17468,TN0110000,2009,28003
17469,TN0110000,2008,27812
17470,TN0150000,2017,28398
17471,TN0150000,2016,28248
17472,TN0150000,2015,28443
17473,TN0150000,2014,28614
17474,TN0150000,2013,28670
17475,TN0150000,2012,28859
17476,TN0150000,2011,28976
17477,TN0150000,2010,28717
17478,TN0150000,2009,28496
17479,TN0150000,2008,28072
17480,TN0150100,2017,6816
17481,TN0150100,2016,6812
17482,TN0150100,2015,6865
17483,TN0150100,2014,6924
17484,TN0150100,2013,6912
17485,TN0150100,2012,6979
17486,TN0150100,2011,7008
17487,TN0150100,2010,6945
17488,TN0150100,2009,7539
17489,TN0150100,2008,7466
17490,TN0160100,2017,10702
17491,TN0160100,2016,10596
17492,TN0160100,2015,10404
17493,TN0160100,2014,10296
17494,TN0160100,2013,10258
17495,TN0160100,2012,10226
17496,TN0160100,2011,10193
17497,TN0160100,2010,10102
17498,TN0160100,2009,10188
17499,TN0160100,2008,9972
17500,TN0170100,2017,2452
17501,TN0170100,2016,2486
17502,TN0170100,2015,2501
17503,TN0170100,2014,2487
17504,TN0170100,2013,2461
17505,TN0170100,2012,2476
17506,TN0170100,2011,2483
17507,TN0170100,2010,2461
17508,TN0170100,2009,2307
17509,TN0170100,2008,2317
17510,TN0180000,2017,47628
17511,TN0180000,2016,47125
17512,TN0180000,2015,46998
17513,TN0180000,2014,46600
17514,TN0180000,2013,46154
17515,TN0180000,2012,46107
17516,TN0180000,2011,45667
17517,TN0180000,2010,45258
17518,TN0180000,2009,42633
17519,TN0180000,2008,42254
17520,TN0180100,2017,11555
17521,TN0180100,2016,11514
17522,TN0180100,2015,11445
17523,TN0180100,2014,11339
17524,TN0180100,2013,11199
17525,TN0180100,2012,10993
17526,TN0180100,2011,10892
17527,TN0180100,2010,10795
17528,TN0180100,2009,11908
17529,TN0180100,2008,11563
17530,TN0190100,2017,681186
17531,TN0190100,2016,674834
17532,TN0190100,2015,658029
17533,TN0190100,2014,647689
17534,TN0190100,2013,635673
17535,TN0190100,2012,620886
17536,TN0190100,2011,612789
17537,TN0190100,2010,605009
17538,TN0190100,2009,610176
17539,TN0190100,2008,602181
17540,TN0190800,2017,0
17541,TN0190800,2016,0
17542,TN0190800,2015,0
17543,TN0190800,2014,0
17544,TN0190800,2013,0
17545,TN0190800,2012,0
17546,TN0190800,2011,0
17547,TN0190800,2010,0
17548,TN0190800,2009,0
17549,TN0190800,2008,0
17550,TN0199E00,2017,0
17551,TN0199E00,2016,0
17552,TN0199E00,2015,0
17553,TN0199E00,2014,0
17554,TN0199E00,2013,0
17555,TN0199E00,2012,0
17556,TN0199E00,2011,0
17557,TN0199E00,2010,0
17558,TN0199E00,2009,0
17559,TN0199E00,2008,0
17560,TN0220000,2017,32097
17561,TN0220000,2016,31431
17562,TN0220000,2015,30907
17563,TN0220000,2014,30743
17564,TN0220000,2013,30935
17565,TN0220000,2012,30962
17566,TN0220000,2011,30729
17567,TN0220000,2010,30454
17568,TN0220000,2009,30513
17569,TN0220000,2008,30071
17570,TN0220100,2017,15637
17571,TN0220100,2016,15501
17572,TN0220100,2015,15074
17573,TN0220100,2014,15022
17574,TN0220100,2013,14920
17575,TN0220100,2012,14780
17576,TN0220100,2011,14669
17577,TN0220100,2010,14538
17578,TN0220100,2009,14095
17579,TN0220100,2008,13861
17580,TN0230200,2017,3288
17581,TN0230200,2016,3341
17582,TN0230200,2015,3327
17583,TN0230200,2014,3343
17584,TN0230200,2013,3332
17585,TN0230200,2012,3329
17586,TN0230200,2011,3343
17587,TN0230200,2010,3313
17588,TN0230200,2009,3158
17589,TN0230200,2008,3140
17590,TN0240100,2017,3139
17591,TN0240100,2016,3095
17592,TN0240100,2015,3107
17593,TN0240100,2014,3121
17594,TN0240100,2013,3142
17595,TN0240100,2012,3128
17596,TN0240100,2012,3128
17597,TN0240100,2011,3122
17598,TN0240100,2011,3122
17599,TN0240100,2010,3094
17600,TN0260200,2017,8573
17601,TN0260200,2016,8545
17602,TN0260200,2015,8555
17603,TN0260200,2014,8530
17604,TN0260200,2013,8410
17605,TN0260200,2012,8272
17606,TN0260200,2011,8607
17607,TN0260200,2010,8530
17608,TN0260200,2009,7919
17609,TN0260200,2008,7898
17610,TN0260600,2017,853
17611,TN0260600,2016,852
17612,TN0260600,2015,858
17613,TN0260600,2015,858
17614,TN0260600,2014,861
17615,TN0260600,2013,850
17616,TN0260600,2012,877
17617,TN0260600,2011,880
17618,TN0260600,2010,872
17619,TN0260600,2009,861
17620,TN0270100,2017,8210
17621,TN0270100,2016,8287
17622,TN0270100,2015,8324
17623,TN0270100,2014,8391
17624,TN0270100,2013,8458
17625,TN0270100,2012,8563
17626,TN0270100,2011,8528
17627,TN0270100,2010,8452
17628,TN0270100,2009,9126
17629,TN0270100,2008,9072
17630,TN0270200,2017,7780
17631,TN0270200,2016,7803
17632,TN0270200,2015,7827
17633,TN0270200,2014,7757
17634,TN0270200,2013,7789
17635,TN0270200,2012,7955
17636,TN0270200,2011,7922
17637,TN0270200,2010,7851
17638,TN0270200,2009,7939
17639,TN0270200,2008,7854
17640,TN0280000,2017,19443
17641,TN0280000,2016,19106
17642,TN0280000,2015,18976
17643,TN0280000,2014,18909
17644,TN0280000,2013,19098
17645,TN0280000,2012,19506
17646,TN0280000,2011,19586
17647,TN0280000,2010,19124
17648,TN0280000,2009,18959
17649,TN0280000,2008,18721
17650,TN0320100,2017,29774
17651,TN0320100,2016,29576
17652,TN0320100,2015,29377
17653,TN0320100,2014,29401
17654,TN0320100,2013,29300
17655,TN0320100,2012,29617
17656,TN0320100,2011,29400
17657,TN0320100,2010,29137
17658,TN0320100,2009,27775
17659,TN0320100,2008,27579
17660,TN0320200,2017,0
17661,TN0320200,2016,0
17662,TN0320200,2015,0
17663,TN0320200,2014,0
17664,TN0320200,2013,0
17665,TN0320200,2012,0
17666,TN0320200,2011,0
17667,TN0320200,2010,0
17668,TN0320200,2009,0
17669,TN0320200,2008,0
17670,TN0330000,2017,114203
17671,TN0330000,2016,111698
17672,TN0330000,2015,111588
17673,TN0330000,2014,111269
17674,TN0330000,2013,111013
17675,TN0330000,2012,107857
17676,TN0330000,2011,106730
17677,TN0330000,2010,105777
17678,TN0330000,2009,103517
17679,TN0330000,2008,101151
17680,TN0330100,2017,178753
17681,TN0330100,2016,177801
17682,TN0330100,2015,174969
17683,TN0330100,2014,174449
17684,TN0330100,2013,172286
17685,TN0330100,2012,171541
17686,TN0330100,2011,169187
17687,TN0330100,2010,167674
17688,TN0330100,2009,172536
17689,TN0330100,2008,171611
17690,TN0330500,2017,8624
17691,TN0330500,2016,8577
17692,TN0330500,2015,8579
17693,TN0330500,2014,8517
17694,TN0330500,2013,7751
17695,TN0330500,2012,7718
17696,TN0330500,2011,7622
17697,TN0330500,2010,7554
17698,TN0330500,2009,7075
17699,TN0330500,2008,7089
17700,TN0330600,2017,13264
17701,TN0330600,2016,13215
17702,TN0330600,2015,13250
17703,TN0330600,2014,13170
17704,TN0330600,2013,13004
17705,TN0330600,2012,12989
17706,TN0330600,2011,12829
17707,TN0330600,2010,12714
17708,TN0330600,2009,12624
17709,TN0330600,2008,12407
17710,TN0330800,2017,11838
17711,TN0330800,2016,11789
17712,TN0330800,2015,11814
17713,TN0330800,2014,11872
17714,TN0330800,2013,11865
17715,TN0330800,2012,11906
17716,TN0330800,2011,11756
17717,TN0330800,2010,11651
17718,TN0330800,2009,11488
17719,TN0330800,2008,11512
17720,TN0330900,2017,0
17721,TN0330900,2016,0
17722,TN0330900,2015,0
17723,TN0330900,2014,0
17724,TN0330900,2013,0
17725,TN0330900,2012,0
17726,TN0330900,2011,0
17727,TN0330900,2010,0
17728,TN0330900,2009,0
17729,TN0330900,2008,0
17730,TN0350000,2017,14412
17731,TN0350000,2016,14604
17732,TN0350000,2015,14754
17733,TN0350000,2014,15073
17734,TN0350000,2013,15200
17735,TN0350000,2012,15653
17736,TN0350000,2011,15950
17737,TN0350000,2010,15803
17738,TN0350000,2009,16557
17739,TN0350000,2008,16466
17740,TN0390100,2017,7792
17741,TN0390100,2016,7859
17742,TN0390100,2015,7873
17743,TN0390100,2014,7912
17744,TN0390100,2013,7844
17745,TN0390100,2012,7755
17746,TN0390100,2011,7721
17747,TN0390100,2010,7652
17748,TN0390100,2009,7908
17749,TN0390100,2008,7851
17750,TN0410000,2017,20718
17751,TN0410000,2016,20729
17752,TN0410000,2015,20731
17753,TN0410000,2014,20640
17754,TN0410000,2013,20499
17755,TN0410000,2012,20978
17756,TN0410000,2011,21236
17757,TN0410000,2010,21046
17758,TN0410000,2009,20082
17759,TN0410000,2008,19929
17760,TN0410100,2017,3564
17761,TN0410100,2016,3574
17762,TN0410100,2015,3585
17763,TN0410100,2014,3591
17764,TN0410100,2013,3531
17765,TN0410100,2012,3630
17766,TN0410100,2011,3677
17767,TN0410100,2010,3644
17768,TN0410100,2009,3994
17769,TN0410100,2008,3998
17770,TN0450100,2017,8351
17771,TN0450100,2016,8549
17772,TN0450100,2015,8392
17773,TN0450100,2014,8211
17774,TN0450100,2013,8213
17775,TN0450100,2012,8149
17776,TN0450100,2011,8120
17777,TN0450100,2010,8047
17778,TN0450100,2009,8188
17779,TN0450100,2008,8127
17780,TN0470000,2017,273411
17781,TN0470000,2016,268450
17782,TN0470000,2015,267044
17783,TN0470000,2014,264396
17784,TN0470000,2013,261228
17785,TN0470000,2012,258284
17786,TN0470000,2011,255637
17787,TN0470000,2010,253352
17788,TN0470000,2009,251067
17789,TN0470000,2008,244494
17790,TN0470100,2017,187539
17791,TN0470100,2016,186583
17792,TN0470100,2015,185638
17793,TN0470100,2014,184362
17794,TN0470100,2013,183249
17795,TN0470100,2012,182254
17796,TN0470100,2011,180488
17797,TN0470100,2010,178874
17798,TN0470100,2009,185850
17799,TN0470100,2008,184559
17800,TN0490400,2017,611
17801,TN0490400,2016,623
17802,TN0490400,2015,633
17803,TN0490400,2014,647
17804,TN0490400,2013,644
17805,TN0490400,2012,650
17806,TN0490400,2011,653
17807,TN0490400,2010,647
17808,TN0490400,2009,846
17809,TN0490400,2008,847
17810,TN0500100,2017,10780
17811,TN0500100,2016,10595
17812,TN0500100,2015,10514
17813,TN0500100,2014,10448
17814,TN0500100,2013,10445
17815,TN0500100,2012,10576
17816,TN0500100,2011,10522
17817,TN0500100,2010,10428
17818,TN0500100,2009,10779
17819,TN0500100,2008,10784
17820,TN0530100,2017,9187
17821,TN0530100,2016,9175
17822,TN0530100,2015,9126
17823,TN0530100,2014,9058
17824,TN0530100,2013,8945
17825,TN0530100,2012,8836
17826,TN0530100,2011,8720
17827,TN0530100,2010,8642
17828,TN0530100,2009,8147
17829,TN0530100,2008,7978
17830,TN0570100,2017,67031
17831,TN0570100,2016,66990
17832,TN0570100,2015,67415
17833,TN0570100,2014,67869
17834,TN0570100,2013,67371
17835,TN0570100,2012,65725
17836,TN0570100,2011,65799
17837,TN0570100,2010,65211
17838,TN0570100,2009,63530
17839,TN0570100,2008,63620
17840,TN0580000,2017,18539
17841,TN0580000,2016,18543
17842,TN0580000,2015,18491
17843,TN0580000,2014,16126
17844,TN0580000,2013,16029
17845,TN0580000,2012,16049
17846,TN0580000,2011,16183
17847,TN0580000,2010,16039
17848,TN0580000,2009,16426
17849,TN0580000,2008,16285
17850,TN0600100,2017,38031
17851,TN0600100,2016,37219
17852,TN0600100,2015,36405
17853,TN0600100,2014,35760
17854,TN0600100,2013,34952
17855,TN0600100,2012,35203
17856,TN0600100,2011,34994
17857,TN0600100,2010,34681
17858,TN0600100,2009,34529
17859,TN0600100,2008,34080
17860,TN0600300,2017,39366
17861,TN0600300,2016,37599
17862,TN0600300,2015,35658
17863,TN0600300,2014,33472
17864,TN0600300,2013,31807
17865,TN0600300,2012,29981
17866,TN0600300,2011,29298
17867,TN0600300,2010,29036
17868,TN0600300,2009,29870
17869,TN0600300,2008,27290
17870,TN0620000,2017,33065
17871,TN0620000,2016,32768
17872,TN0620000,2015,32333
17873,TN0620000,2014,32442
17874,TN0620000,2013,32321
17875,TN0620000,2012,32325
17876,TN0620000,2011,32112
17877,TN0620000,2010,31824
17878,TN0620000,2009,32506
17879,TN0620000,2008,31833
17880,TN0620200,2017,4805
17881,TN0620200,2016,4823
17882,TN0620200,2015,4773
17883,TN0620200,2014,4803
17884,TN0620200,2013,4784
17885,TN0620200,2012,4651
17886,TN0620200,2011,4618
17887,TN0620200,2010,4577
17888,TN0620200,2009,4800
17889,TN0620200,2008,4638
17890,TN0630000,2017,46862
17891,TN0630000,2016,45297
17892,TN0630000,2015,44114
17893,TN0630000,2014,42819
17894,TN0630000,2013,42915
17895,TN0630000,2012,40722
17896,TN0630000,2011,39758
17897,TN0630000,2010,39402
17898,TN0630000,2009,35932
17899,TN0630000,2008,35601
17900,TN0630100,2017,153294
17901,TN0630100,2016,152526
17902,TN0630100,2015,150319
17903,TN0630100,2014,144639
17904,TN0630100,2013,145599
17905,TN0630100,2012,137356
17906,TN0630100,2011,134128
17907,TN0630100,2010,132929
17908,TN0630100,2009,121661
17909,TN0630100,2008,121386
17910,TN0660100,2017,10544
17911,TN0660100,2016,10506
17912,TN0660100,2015,10604
17913,TN0660100,2014,10707
17914,TN0660100,2013,10738
17915,TN0660100,2012,10978
17916,TN0660100,2011,10993
17917,TN0660100,2010,10895
17918,TN0660100,2009,10533
17919,TN0660100,2008,10612
17920,TN0710100,2017,32860
17921,TN0710100,2016,32292
17922,TN0710100,2015,31509
17923,TN0710100,2014,31257
17924,TN0710100,2013,31174
17925,TN0710100,2012,30946
17926,TN0710100,2011,30710
17927,TN0710100,2010,30435
17928,TN0710100,2009,29609
17929,TN0710100,2008,29276
17930,TN0710200,2017,4323
17931,TN0710200,2016,3770
17932,TN0710200,2015,3618
17933,TN0710200,2014,3577
17934,TN0710200,2013,3517
17935,TN0710200,2012,3555
17936,TN0710200,2011,3527
17937,TN0710200,2010,3495
17938,TN0710200,2009,3430
17939,TN0710200,2008,3366
17940,TN0710500,2017,0
17941,TN0710500,2016,0
17942,TN0710500,2015,0
17943,TN0710500,2014,0
17944,TN0710500,2013,0
17945,TN0710500,2012,0
17946,TN0710500,2011,0
17947,TN0710500,2010,0
17948,TN0710500,2009,0
17949,TN0710500,2008,0
17950,TN0730400,2017,5424
17951,TN0730400,2016,5400
17952,TN0730400,2015,5396
17953,TN0730400,2014,5435
17954,TN0730400,2013,5475
17955,TN0730400,2012,5573
17956,TN0730400,2011,5612
17957,TN0730400,2010,5562
17958,TN0730400,2009,5553
17959,TN0730400,2008,5575
17960,TN0740200,2017,6853
17961,TN0740200,2016,6807
17962,TN0740200,2015,6746
17963,TN0740200,2014,6694
17964,TN0740200,2013,6586
17965,TN0740200,2012,6568
17966,TN0740200,2011,6491
17967,TN0740200,2010,6433
17968,TN0740200,2009,6752
17969,TN0740200,2008,6575
17970,TN0750400,2017,0
17971,TN0750400,2016,0
17972,TN0750400,2015,0
17973,TN0750400,2014,0
17974,TN0750400,2013,0
17975,TN0750400,2012,0
17976,TN0750400,2011,0
17977,TN0750400,2010,0
17978,TN0750400,2009,0
17979,TN0750400,2008,0
17980,TN0760000,2017,17267
17981,TN0760000,2016,17243
17982,TN0760000,2015,17268
17983,TN0760000,2014,17336
17984,TN0760000,2013,17463
17985,TN0760000,2012,17606
17986,TN0760000,2011,17667
17987,TN0760000,2010,17509
17988,TN0760000,2009,17342
17989,TN0760000,2008,17210
17990,TN0770100,2017,5185
17991,TN0770100,2016,5167
17992,TN0770100,2015,5131
17993,TN0770100,2014,5112
17994,TN0770100,2013,5005
17995,TN0770100,2012,4933
17996,TN0770100,2011,4858
17997,TN0770100,2010,4815
17998,TN0770100,2009,5521
17999,TN0770100,2008,5046
18000,TN0790000,2017,125854
18001,TN0790000,2016,124723
18002,TN0790000,2015,125039
18003,TN0790000,2014,132857
18004,TN0790000,2013,134712
18005,TN0790000,2012,135345
18006,TN0790000,2011,134355
18007,TN0790000,2010,133157
18008,TN0790000,2009,103719
18009,TN0790000,2008,99576
18010,TN0790100,2017,49790
18011,TN0790100,2016,49531
18012,TN0790100,2015,49432
18013,TN0790100,2014,47757
18014,TN0790100,2013,46726
18015,TN0790100,2012,44690
18016,TN0790100,2011,44362
18017,TN0790100,2010,43965
18018,TN0790100,2009,39973
18019,TN0790100,2008,40001
18020,TN0790400,2017,10944
18021,TN0790400,2016,11002
